"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
0,1160,44649.91,59261.36,213.33,2035,421,0,20.48
1,25565,44649.61,59256.64,170.33,1552,414,0,16.62
2,34581,44647.28,59265.87,157.05,1104,415,0,19.65
3,34582,44647.28,59265.87,157.05,1104,415,0,19.65
4,5827,44646.35,59267.88,181.62,1447,416,0,19.90
5,11542,44634.43,59273.49,173.81,1428,420,0,18.68
6,14297,44634.25,59274.60,180.38,1763,404,0,16.13
7,25377,44645.20,59275.99,226.51,2320,408,0,19.43
8,33283,44653.01,59271.63,224.53,2445,392,0,17.91
9,33284,44653.01,59271.63,224.53,2445,392,0,17.91
10,17,44748.87,59261.04,165.65,1882,424,0,13.28
11,18,44748.87,59261.04,165.65,1882,424,0,13.28
12,20,44735.05,59251.05,176.34,1819,422,0,15.24
13,21,44735.05,59251.05,176.34,1819,422,0,15.24
14,79,44705.97,59255.66,252.25,3460,394,0,16.41
15,82,44694.17,59258.10,210.35,2417,409,0,16.04
16,143,44694.18,59233.85,211.20,2603,419,0,15.30
17,218,44711.16,59254.05,220.74,2677,406,0,16.76
18,224,44749.12,59247.28,151.64,1034,433,0,20.02
19,249,44736.02,59262.03,216.14,2382,403,0,17.03
20,250,44736.02,59262.03,216.14,2382,403,0,17.03
21,270,44724.04,59247.40,211.40,2399,406,0,16.64
22,271,44724.04,59247.40,211.40,2399,406,0,16.64
23,293,44740.52,59262.45,170.18,1849,417,0,14.24
24,294,44701.36,59259.08,190.50,1495,419,0,21.10
25,349,44774.02,59251.21,196.66,1883,405,0,17.86
26,361,44733.20,59257.10,177.69,1784,416,0,15.82
27,362,44733.20,59257.10,177.69,1784,416,0,15.82
28,368,44695.88,59246.35,147.03,1328,427,0,14.89
29,385,44724.02,59262.48,182.10,1392,430,0,21.29
30,386,44724.02,59262.48,182.10,1392,430,0,21.29
31,413,44762.56,59252.44,201.58,2177,414,0,16.77
32,414,44762.56,59252.44,201.58,2177,414,0,16.77
33,418,44678.65,59259.56,151.12,853,437,0,23.98
34,419,44678.65,59259.56,151.12,853,437,0,23.98
35,420,44716.47,59245.89,128.92,977,429,0,15.78
36,422,44688.62,59255.68,221.37,2742,404,0,15.83
37,426,44718.44,59241.34,198.40,2332,409,0,15.06
38,438,44723.86,59234.48,222.73,2674,405,0,16.30
39,439,44723.86,59234.48,222.73,2674,405,0,16.30
40,459,44729.27,59262.99,240.48,2751,406,0,18.57
41,469,44721.02,59262.24,153.03,1318,422,0,16.05
42,506,44687.16,59251.74,194.94,2129,407,0,15.59
43,517,44734.27,59255.74,207.07,2276,410,0,17.26
44,523,44744.30,59265.60,202.82,2306,401,0,15.49
45,526,44728.93,59257.19,180.04,2025,408,0,14.29
46,539,44705.42,59238.60,179.04,1790,419,0,15.87
47,551,44752.30,59252.64,213.66,2573,406,0,15.59
48,587,44738.34,59250.25,211.75,2002,416,0,19.57
49,590,44741.72,59255.80,214.67,2798,408,0,14.99
50,692,44755.33,59249.11,217.02,2303,416,0,18.34
51,792,44714.11,59264.30,143.43,1339,422,0,14.09
52,793,44714.11,59264.30,143.43,1339,422,0,14.09
53,807,44706.44,59250.01,191.75,2044,402,0,15.63
54,808,44706.44,59250.01,191.75,2044,402,0,15.63
55,835,44739.27,59265.35,190.29,1704,413,0,18.48
56,847,44720.42,59253.19,184.37,1869,416,0,16.03
57,852,44751.83,59266.20,211.50,2005,421,0,20.24
58,864,44709.69,59208.05,206.56,2449,420,0,15.57
59,865,44709.69,59208.05,206.56,2449,420,0,15.57
60,888,44739.97,59266.81,156.24,1360,419,0,16.06
61,889,44739.97,59266.81,156.24,1360,419,0,16.06
62,893,44713.33,59245.83,199.37,2034,411,0,17.34
63,938,44702.03,59264.01,175.47,1644,421,0,16.73
64,1077,44733.91,59253.06,173.84,1720,425,0,15.83
65,1107,44696.95,59264.88,197.41,2057,400,0,16.36
66,1108,44696.95,59264.88,197.41,2057,400,0,16.36
67,1109,44698.08,59238.94,195.36,2088,410,0,16.44
68,1137,44739.39,59266.93,184.91,1953,418,0,15.76
69,1138,44739.39,59266.93,184.91,1953,418,0,15.76
70,1170,44731.03,59261.16,157.42,1342,425,0,16.58
71,1213,44711.49,59244.27,203.05,2497,418,0,14.95
72,1214,44711.49,59244.27,203.05,2497,418,0,14.95
73,1297,44717.51,59255.86,204.75,2622,404,0,14.55
74,1298,44717.51,59255.86,204.75,2622,404,0,14.55
75,1304,44684.69,59243.23,197.63,2383,400,0,14.69
76,1313,44695.75,59252.80,130.08,1047,431,0,15.08
77,1374,44745.60,59264.05,216.56,2357,408,0,17.77
78,1380,44737.75,59265.61,203.53,1959,421,0,18.56
79,1403,44733.25,59266.12,161.27,1568,417,0,14.84
80,1404,44733.25,59266.12,161.27,1568,417,0,14.84
81,1453,44667.89,59262.04,156.01,1128,427,0,19.27
82,1456,44749.77,59266.39,222.79,2984,401,0,14.98
83,1480,44675.15,59262.39,206.73,2092,414,0,18.09
84,1481,44675.15,59262.39,206.73,2092,414,0,18.09
85,1490,44753.04,59256.19,195.64,1977,413,0,16.94
86,1493,44768.12,59263.22,162.76,1341,427,0,17.67
87,1498,44712.78,59266.96,192.98,1890,412,0,17.56
88,1499,44712.78,59266.96,192.98,1890,412,0,17.56
89,1510,44756.99,59263.67,202.78,2136,420,0,17.20
90,1521,44717.47,59266.82,191.01,2092,416,0,15.72
91,1522,44717.47,59266.82,191.01,2092,416,0,15.72
92,1625,44688.73,59263.38,174.05,1429,412,0,18.48
93,1626,44688.73,59263.38,174.05,1429,412,0,18.48
94,1630,44740.43,59250.02,210.03,2975,396,0,13.02
95,1638,44694.01,59255.44,203.94,2526,400,0,14.71
96,1675,44672.16,59261.15,122.18,923,440,0,15.36
97,1676,44672.16,59261.15,122.18,923,440,0,15.36
98,1697,44698.61,59265.58,129.80,985,428,0,15.85
99,1698,44709.68,59262.48,187.07,1632,412,0,18.62
100,1702,44721.78,59264.60,214.61,2547,406,0,16.37
101,1708,44685.61,59254.17,154.55,1122,421,0,18.93
102,1709,44685.61,59254.17,154.55,1122,421,0,18.93
103,1716,44710.80,59250.80,213.63,2254,409,0,17.65
104,1717,44710.80,59250.80,213.63,2254,409,0,17.65
105,1726,44723.87,59243.26,202.77,2253,408,0,16.22
106,1756,44739.17,59258.91,201.97,2133,411,0,17.10
107,1773,44701.42,59265.97,220.54,2566,396,0,16.41
108,1774,44701.42,59265.97,220.54,2566,396,0,16.41
109,1860,44692.11,59263.48,191.76,1831,417,0,17.61
110,1868,44732.58,59255.03,180.85,1901,416,0,15.40
111,1869,44732.58,59255.03,180.85,1901,416,0,15.40
112,1874,44693.32,59263.63,185.53,1369,423,0,21.94
113,1875,44693.32,59263.63,185.53,1369,423,0,21.94
114,1971,44698.93,59263.65,176.48,1799,415,0,15.50
115,1976,44671.28,59222.37,220.67,2833,405,0,15.53
116,2001,44721.53,59263.07,177.46,1421,418,0,19.61
117,2015,44712.41,59260.14,188.75,1552,415,0,19.93
118,2016,44712.41,59260.14,188.75,1552,415,0,19.93
119,2039,44719.49,59260.16,200.63,2023,405,0,17.21
120,2056,44713.88,59263.07,180.08,1663,416,0,17.36
121,2085,44739.20,59220.99,166.94,1286,421,0,19.23
122,2091,44674.35,59255.66,225.60,2723,401,0,16.62
123,2092,44674.35,59255.66,225.60,2723,401,0,16.62
124,2100,44712.51,59247.56,208.53,2296,409,0,16.56
125,2106,44706.21,59263.42,208.85,2683,400,0,14.65
126,2138,44732.52,59266.68,185.51,2204,406,0,14.00
127,2164,44682.53,59263.09,217.87,2116,409,0,19.54
128,2169,44707.72,59262.94,205.41,2088,408,0,18.04
129,2177,44680.96,59261.03,219.47,2490,416,0,17.86
130,2178,44680.96,59261.03,219.47,2490,416,0,17.86
131,2196,44716.01,59266.46,197.81,1753,410,0,19.29
132,2197,44716.01,59266.46,197.81,1753,410,0,19.29
133,2198,44693.81,59260.91,200.69,2422,410,0,15.22
134,2201,44732.89,59251.96,163.24,1540,409,0,15.36
135,2202,44732.89,59251.96,163.24,1540,409,0,15.36
136,2210,44715.53,59263.28,216.44,2439,407,0,17.36
137,2211,44715.53,59263.28,216.44,2439,407,0,17.36
138,2215,44681.03,59252.42,239.71,2398,413,0,22.09
139,2216,44746.44,59257.35,208.28,2041,413,0,18.55
140,2246,44725.30,59246.98,191.02,1908,410,0,16.68
141,2264,44665.88,59252.20,204.72,2495,405,0,14.79
142,2287,44740.17,59259.75,190.47,2197,413,0,14.59
143,2403,44718.02,59264.04,206.78,2091,415,0,18.41
144,2429,44719.79,59258.68,183.62,1922,412,0,15.68
145,2430,44719.79,59258.68,183.62,1922,412,0,15.68
146,2487,44740.22,59262.74,201.75,2107,411,0,17.29
147,2574,44693.78,59257.15,162.25,1407,425,0,16.84
148,2575,44770.66,59264.01,177.44,1590,414,0,17.37
149,2577,44756.53,59262.94,200.78,2316,406,0,15.23
