id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty_xy [nm]
0,528,1279.74,1285.225,128.84,13713,115,0,1.68
1,532,1281.452,1270.017,133.18,14446,103,0,1.62
2,533,1281.143,1276.723,130.82,13951,111,0,1.63
3,746,1275.158,1286.663,131.21,6878,118,0,2.72
4,3662,1280.299,1271.724,134.48,23585,98,0,1.2
5,394,1270.386,1277.655,133.7,38625,107,0,0.89
6,395,1278.57,1286.38,133.47,36292,117,0,0.93
7,396,1288.488,1285.786,133.33,38128,109,0,0.9
8,397,1275.395,1286.316,134.19,38725,110,0,0.9
9,525,1279.62,1273.14,130.24,13873,112,0,1.63
10,527,1287.976,1272.723,135.48,14676,96,0,1.64
11,529,1274.07,1288.626,135.39,14638,103,0,1.65
12,530,1279.264,1281.235,136.86,15236,93,0,1.62
13,531,1287.629,1274.545,132.24,14306,104,0,1.62
14,534,1280.273,1283.009,136.15,15575,84,0,1.62
15,535,1285.281,1275.565,134.21,14395,104,0,1.65
16,748,1272.856,1275.252,127.63,6889,110,0,2.55
17,3660,1288.105,1279.345,132.01,22875,113,0,1.21
18,3661,1274.445,1278.558,131.5,13045,104,0,1.7
19,3663,1286.827,1285.422,134.21,22584,113,0,1.26
20,3664,1286.544,1280.905,132.33,23137,111,0,1.2
21,7177,1279.619,1276.825,136.99,23148,103,0,1.25
22,7178,1275.21,1290.592,135.2,14665,100,0,1.64
23,7179,1279.64,1281.691,134.97,22941,100,0,1.23
24,749,1282.419,1276.313,131.99,7441,100,0,2.51
25,6887,1268.89,1270.797,135.69,9237,92,0,2.22
26,2342,1282.893,1278.568,135.55,23253,96,0,1.24
27,2343,1292.055,1283.603,134.45,11797,97,0,1.88
28,2344,1284.766,1273.536,134.04,22597,109,0,1.28
29,2345,1282.877,1277.631,133.38,22457,110,0,1.25
30,2346,1267.445,1271.637,133.54,22130,111,0,1.27
31,2347,1273.734,1277.882,132.17,22262,109,0,1.25
32,2348,1283.644,1284.834,136.66,23590,96,0,1.23
33,2349,1276.646,1283.147,133.19,22775,103,0,1.22
34,2350,1272.602,1266.925,132.46,22329,110,0,1.26
35,2351,1277.87,1281.735,137.77,23719,89,0,1.25
36,2352,1282.308,1275.471,136.05,23678,94,0,1.23
37,3852,1272.191,1276.69,138.77,17265,87,0,1.53
38,6690,1282.263,1272.346,131.94,17719,106,0,1.42
39,6890,1287.132,1278.344,136.69,9540,92,0,2.22
40,6891,1281.48,1276.959,136.08,9415,93,0,2.22
41,6894,1283.375,1283.31,133.13,8555,107,0,2.39
42,7058,1279.014,1281.201,135.51,13622,103,0,1.78
43,7060,1279.635,1276.881,136.29,14201,91,0,1.76
44,7061,1266.097,1278.915,137.68,14355,93,0,1.75
45,7063,1285.626,1276.06,130.61,12980,110,0,1.72
46,7064,1277.396,1282.151,131.86,13316,110,0,1.74
47,7065,1273.637,1277.538,133.81,13925,95,0,1.7
48,7067,1269.424,1286.087,136.28,13758,105,0,1.76
49,7066,1283.834,1278.625,132.22,13539,100,0,1.76
50,6889,1283.296,1273.089,125.83,8096,113,0,2.25
51,6892,1282.848,1284.447,143.85,10975,69,0,2.15
52,6893,1291.574,1275.584,131.21,8783,108,0,2.26
53,7059,1274.716,1274.488,134.22,6722,101,0,2.8
54,7062,1280.842,1276.984,136.15,13900,96,0,1.73
55,7068,1283.43,1281.539,136.15,13647,99,0,1.76
56,294,1271.164,1284.593,136.83,17212,91,0,1.52
57,295,1271.203,1284.337,147.63,7331,76,0,3
58,299,1278.551,1276.653,132.74,16694,100,0,1.5
59,301,1285.49,1280.371,130.73,15773,111,0,1.54
60,302,1279.054,1285.767,135.02,16364,102,0,1.57
61,303,1281.739,1273.359,136.73,17097,93,0,1.53
62,304,1274.542,1281.483,134.18,16191,105,0,1.59
63,2039,1275.753,1274.614,126.87,7440,106,0,2.41
64,4057,1275.35,1275.744,133.08,6129,92,0,2.92
65,4062,1281.188,1277.816,135.27,7927,92,0,2.49
66,4064,1272.206,1279.106,136.97,8144,89,0,2.5
67,4066,1280.152,1278.629,134.49,7970,94,0,2.48
68,6468,1276.613,1275.103,134.67,23536,104,0,1.24
69,6471,1274.083,1278.972,136.19,24024,98,0,1.25
70,6473,1283.565,1282.009,135,23313,94,0,1.25
71,6474,1281.617,1279.996,132.93,23335,103,0,1.22
72,6476,1278.887,1281.095,132.42,22911,112,0,1.24
73,296,1287.903,1277.246,134.37,17089,94,0,1.5
74,297,1291.38,1281.064,138.23,17753,84,0,1.51
75,298,1277.738,1281.353,130.57,15543,116,0,1.56
76,300,1276.957,1284.428,132.01,15919,107,0,1.55
77,2034,1280.848,1281.145,131.79,7753,102,0,2.47
78,4058,1288.98,1282.404,125.25,7345,106,0,2.41
79,4059,1283.409,1289.636,132.13,7521,98,0,2.53
80,4060,1281.768,1274.519,131.45,7311,104,0,2.58
81,4061,1276.671,1282.043,133.83,7615,104,0,2.59
82,4063,1291.093,1278.984,141.64,8963,73,0,2.39
83,4067,1281.037,1285.028,132.66,7570,102,0,2.59
84,4069,1276.091,1289.304,132.51,7542,100,0,2.59
85,6469,1279.337,1280.213,137.81,15880,91,0,1.64
86,6470,1283.832,1283.975,133.94,22861,108,0,1.25
87,6472,1280.478,1284.904,133.25,23028,104,0,1.23
88,6475,1282.274,1283.99,135.77,23453,100,0,1.26
89,2037,1268.505,1281.862,132.2,7639,100,0,2.52
90,2038,1284.856,1279.375,138.77,8961,82,0,2.39
91,2040,1276.06,1271.882,128.17,7316,110,0,2.52
92,4056,1273.99,1280.169,139.93,8250,92,0,2.59
93,4065,1287.723,1276.36,133.26,7643,98,0,2.54
94,4070,1277.072,1279.933,130.39,7490,100,0,2.51
95,6477,1279.109,1279.731,132.73,22641,112,0,1.25
96,2036,1274.109,1281.342,142.27,9097,83,0,2.48
97,84,1291.753,1280.139,138.02,10653,93,0,2.09
98,3140,1289.705,1272.818,125.09,4523,104,0,3.35
99,74,1273.355,1281.82,139.09,10648,87,0,2.24
100,79,1272.75,1272.244,129.63,9536,103,0,2.08
101,80,1276.636,1279.375,132.87,9915,102,0,2.11
102,76,1280.779,1277.348,136.03,10342,92,0,2.09
103,77,1285.283,1283.193,132.04,9759,101,0,2.1
104,78,1277.921,1273.888,129.34,9303,109,0,2.12
105,81,1283.785,1275.406,134.42,9893,102,0,2.15
106,82,1277.697,1280.757,135.66,10529,92,0,2.06
107,83,1280.745,1264.286,135.11,10342,87,0,2.05
108,2699,1286.438,1282.277,134.17,22037,98,0,1.27
109,4867,1277.288,1274.885,140.85,13906,84,0,1.77
110,4869,1270.932,1286.573,131.38,12549,112,0,1.76
111,7145,1282.907,1274.206,130.58,8283,101,0,2.28
112,4866,1276.903,1280.757,130.85,12523,109,0,1.74
113,115,1282.111,1282.262,131.26,16232,102,0,1.47
114,1070,1280.958,1279.855,137.18,25876,87,0,1.16
115,1071,1274.541,1276.2,135.15,12720,104,0,1.81
116,1072,1277.532,1283.462,132.93,24351,112,0,1.18
117,1073,1284.832,1285.38,136.16,25451,94,0,1.22
118,3126,1282.877,1283.972,136.1,27976,88,0,1.09
119,3128,1273.374,1284.813,133.23,26283,117,0,1.13
120,3129,1277.01,1283.77,131.99,26118,111,0,1.11
121,3130,1282.221,1279.851,133.09,27249,101,0,1.08
122,3131,1277.33,1276.213,134.14,27515,102,0,1.1
123,4863,1285.238,1281.084,134.27,13055,98,0,1.75
124,4864,1279.877,1285.229,132.27,9608,101,0,2.1
125,4865,1273.893,1275.201,139.47,14359,82,0,1.7
126,4868,1275.766,1276.312,136.38,13760,95,0,1.72
127,4933,1281.178,1278.318,136.51,40711,109,0,0.9
128,4934,1283.053,1275.046,136.33,20312,97,0,1.34
129,4935,1274.367,1275.717,133.88,39954,118,0,0.88
130,4936,1278.457,1284.973,135.53,41197,94,0,0.87
131,4937,1288.032,1270.614,132.84,39023,129,0,0.89
132,6922,1280.587,1286.027,134.44,9305,104,0,2.22
133,7088,1281.366,1278.306,132.17,13266,106,0,1.71
134,7142,1281.664,1281.695,130.4,8228,106,0,2.37
135,7144,1277.703,1271.947,136.8,9116,93,0,2.27
136,7146,1279.717,1280.542,135.03,9225,95,0,2.21
137,7148,1281.211,1275.777,127.4,8027,106,0,2.27
138,7147,1270.267,1267.249,137.67,9437,85,0,2.2
139,6586,1284.459,1272.78,129.77,8116,105,0,2.33
140,4167,1285.617,1283.649,137.51,19087,90,0,1.49
141,6136,1284.968,1282.538,138.8,35007,76,0,0.99
142,6137,1285.453,1270.233,135.62,17785,96,0,1.49
143,6138,1286.868,1280.274,134.24,32360,118,0,1.02
144,6139,1277.622,1282.518,138.61,34659,85,0,1.01
145,6140,1290.072,1284.907,135.92,34116,91,0,0.98
146,6588,1278.694,1274.866,128.58,8084,114,0,2.34
147,5541,1269.246,1277.986,135.08,18602,104,0,1.45
148,5538,1280.844,1277.527,137.9,19196,94,0,1.49
149,5540,1293.019,1279.634,139.39,19836,92,0,1.44
